Date,Open,High,Low,Close,Adj Close,Volume
2018-10-12,134.913956,135.315491,132.963669,134.655838,103.240791,6865316
2018-10-15,134.206497,136.003830,133.977051,134.923523,103.446014,5193913
2018-10-16,136.644363,139.053543,135.353729,138.738052,106.370636,9095493
2018-10-17,129.913956,131.118546,127.552582,128.154877,98.256485,20359344
2018-10-18,126.892921,127.533463,124.321220,124.808792,95.691048,10472238
2018-10-19,124.904396,126.089867,122.332695,123.422562,94.628227,8150014
2018-10-22,123.881454,124.703636,122.753349,124.302101,95.302574,5982597
2018-10-23,123.346077,126.099426,122.762909,125.439774,96.174820,6760926
2018-10-24,125.401527,125.898659,121.414917,121.615677,93.242874,5972974
2018-10-25,121.653923,122.170174,119.636711,120.889099,92.685822,10778298
2018-10-26,119.703636,120.248566,118.269600,119.302101,91.469055,9170282
2018-10-29,114.091782,118.499046,113.097511,114.378586,87.694191,21391118
2018-10-30,115.181641,116.156792,110.086044,110.325050,84.586327,22445696
2018-10-31,111.367111,111.376671,109.072655,110.353729,84.608315,22640670
2018-11-01,110.420647,111.854683,110.047798,111.692162,85.634506,14253528
2018-11-02,112.342255,112.571701,109.502869,110.583176,84.784233,11079964
2018-11-05,110.994263,115.458893,110.898659,114.780113,88.002037,9565252
2018-11-06,115.391968,118.365204,115.019119,117.705544,90.244949,10038880
2018-11-07,118.346077,119.560226,116.950287,119.349907,91.505714,12952304
2018-11-08,117.265778,118.929253,117.237091,117.954109,91.587349,10874634
2018-11-09,118.173996,119.091782,116.596558,118.107079,91.706123,7282043
2018-11-12,118.068832,118.135757,115.344170,115.583176,89.746407,5626539
2018-11-13,115.860420,116.873802,114.627151,115.525810,89.701874,4272282
2018-11-14,115.783936,116.567879,114.502869,114.913956,89.226784,4981366
2018-11-15,114.397705,116.099426,114.254303,116.099426,90.147270,5447463
2018-11-16,115.573616,116.491394,115.239006,116.223709,90.243767,4263810
2018-11-19,116.281075,116.806885,114.502869,115.019119,89.308449,4321235
2018-11-20,113.279160,114.235184,111.567879,112.045891,86.999832,6520555
2018-11-21,112.437859,114.254303,112.227531,113.355644,88.016800,5581247
2018-11-23,112.896751,113.135757,111.768639,112.036331,86.992401,2442096
2018-11-26,113.164436,114.961761,112.868073,114.302101,88.751686,5241611
2018-11-27,113.173996,114.760994,113.164436,114.751434,89.100578,5129375
2018-11-28,115.688339,117.676865,114.933075,117.590820,91.305283,5339307
2018-11-29,117.055450,117.705544,116.061188,116.137665,90.176956,5439305
2018-11-30,116.309753,119.206497,116.137665,118.804970,92.248024,7585174
2018-12-03,120.143402,121.022942,118.891014,119.799232,93.020020,6115334
2018-12-04,119.015297,119.426384,115.994263,116.252388,90.266029,6276732
2018-12-06,114.455070,118.460800,114.053535,118.460800,91.980782,7257148
2018-12-07,118.451241,118.594643,113.642448,114.091782,88.588394,7342502
2018-12-10,114.474190,116.328873,113.307838,115.803062,89.917137,6850777
2018-12-11,117.829826,118.365204,114.722755,115.573616,89.738991,5275083
2018-12-12,117.122368,117.476097,115.678780,115.831741,89.939415,3724283
2018-12-13,115.927345,116.434036,114.885277,115.420647,89.620216,4177306
2018-12-14,114.244743,115.783936,114.187378,114.627151,89.004089,4763693
2018-12-17,113.833649,114.512428,110.009560,110.994263,86.183266,7713727
2018-12-18,111.759079,113.030594,110.917786,111.520073,86.591560,6579549
2018-12-19,111.998085,114.980881,110.869980,111.309753,86.428246,7300871
2018-12-20,110.611855,111.328873,106.787766,108.049713,83.896935,8843302
2018-12-21,107.552582,110.210327,105.583176,106.061188,82.352913,10864279
2018-12-24,105.066925,106.118546,102.772469,102.839386,79.851288,3997184
2018-12-26,103.250481,106.491394,101.281075,106.491394,82.686958,6951507
2018-12-27,105.152962,108.776291,104.655830,108.776291,84.461105,6323698
2018-12-28,109.196938,109.751434,107.552582,108.059273,83.904343,5352905
